variable,adf_statistic,p_value
cpi,0.9498101550970912,0.9937071196382541
ppi,-0.5126271267305162,0.8895287536488603
trend_gap,-1.2122292832554191,0.6683129829592873
diff_log_cpi,-2.742985083166638,0.0668907283733337
diff_log_ppi,-3.135911523052543,0.02400722043109182
diff_log_trend_gap,-3.4686956821597024,0.008828407092220462
